               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029252,            0.013582,            0.015603,             0.83883,             0.85755,             0.97143,             0.58965,            0.024579,            0.003536,            0.032034,           0.0082675,           0.0082675,           0.0082675
                  37,            0.026203,            0.013608,            0.015245,             0.89535,             0.92608,             0.91926,             0.48121,            0.022132,           0.0039234,            0.015942,            0.008218,            0.008218,            0.008218
                  38,            0.024318,            0.013175,            0.013844,             0.86103,             0.92296,               0.995,             0.56241,            0.023784,           0.0042272,            0.007045,           0.0081685,           0.0081685,           0.0081685
                  39,             0.02829,            0.013117,            0.015937,             0.82236,             0.83861,             0.94533,             0.45915,            0.028153,           0.0042391,            0.024335,            0.008119,            0.008119,            0.008119
                  40,            0.023966,            0.013342,            0.013684,              0.9536,             0.96416,               0.995,             0.49931,            0.029671,           0.0033056,            0.019025,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027425,            0.013445,            0.017014,              0.9826,                   1,               0.995,             0.60612,            0.024283,           0.0036383,           0.0037783,             0.00802,             0.00802,             0.00802
                  42,            0.024123,            0.012719,            0.013145,             0.98023,                   1,               0.995,             0.54846,            0.020995,           0.0029001,           0.0020542,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027069,            0.013407,            0.012956,             0.95274,                   1,             0.98591,             0.56677,            0.023301,           0.0030444,           0.0022991,            0.007921,            0.007921,            0.007921
                  44,            0.026289,            0.013002,            0.012825,             0.92634,             0.96667,             0.98944,             0.42364,            0.023647,           0.0038425,           0.0099855,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026193,            0.013192,            0.014265,             0.96838,                   1,               0.995,             0.54841,            0.020784,           0.0034492,           0.0034172,            0.007822,            0.007822,            0.007822
                  46,            0.025414,            0.012738,            0.012391,             0.95347,             0.96889,               0.995,             0.48946,            0.023188,           0.0035719,           0.0011428,           0.0077725,           0.0077725,           0.0077725
                  47,            0.026516,            0.012525,            0.012364,             0.91289,             0.92963,              0.9661,             0.49508,            0.027229,           0.0030745,           0.0024173,            0.007723,            0.007723,            0.007723
                  48,            0.026218,            0.012398,            0.013693,             0.79493,             0.91352,             0.92082,             0.36755,            0.027952,           0.0027642,           0.0060007,           0.0076735,           0.0076735,           0.0076735
                  49,            0.025043,            0.012047,            0.012477,             0.92441,             0.89742,             0.98731,              0.6419,            0.024419,            0.003019,           0.0044563,            0.007624,            0.007624,            0.007624
                  50,            0.026369,             0.01207,            0.014374,             0.97968,                   1,               0.995,             0.53994,            0.022946,           0.0040405,           0.0019506,           0.0075745,           0.0075745,           0.0075745
                  51,            0.024245,            0.012484,            0.011196,             0.98408,             0.99655,               0.995,             0.60559,            0.021216,           0.0034128,           0.0020431,            0.007525,            0.007525,            0.007525
                  52,            0.023842,            0.012835,            0.012948,             0.97338,                   1,               0.995,              0.5771,            0.020996,           0.0033435,           0.0019375,           0.0074755,           0.0074755,           0.0074755
                  53,            0.021226,            0.012351,            0.011367,             0.98217,                   1,               0.995,             0.61412,            0.021632,           0.0032978,           0.0013095,            0.007426,            0.007426,            0.007426
                  54,            0.024088,            0.012585,            0.011889,             0.96976,                   1,               0.995,             0.55703,            0.021918,           0.0028713,          0.00064859,           0.0073765,           0.0073765,           0.0073765
                  55,            0.024695,            0.012039,            0.011656,             0.98224,                   1,               0.995,             0.44727,            0.024644,           0.0028839,           0.0006855,            0.007327,            0.007327,            0.007327
                  56,            0.021879,            0.012141,            0.010658,             0.97249,                   1,               0.995,             0.44385,             0.02444,           0.0029132,           0.0014574,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024189,            0.011885,             0.01147,             0.97962,                   1,               0.995,             0.60988,            0.020909,           0.0026926,          0.00070667,            0.007228,            0.007228,            0.007228
                  58,            0.021449,            0.011534,             0.00861,              0.9814,                   1,               0.995,             0.62074,            0.020523,           0.0029534,          0.00086203,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022854,            0.012017,           0.0098649,             0.98741,                   1,               0.995,             0.57127,            0.020287,           0.0031528,          0.00061712,            0.007129,            0.007129,            0.007129
                  60,            0.023676,             0.01194,           0.0093325,             0.94432,             0.96667,             0.97917,              0.5369,            0.021843,           0.0040541,           0.0023858,           0.0070795,           0.0070795,           0.0070795
                  61,            0.024454,            0.011653,           0.0097942,             0.97898,                   1,               0.995,              0.6544,            0.019035,           0.0030248,          0.00080152,             0.00703,             0.00703,             0.00703
                  62,            0.021148,            0.011503,           0.0084096,              0.9676,                   1,               0.995,             0.56555,            0.020331,           0.0035049,          0.00079451,           0.0069805,           0.0069805,           0.0069805
                  63,            0.026038,            0.011855,            0.012112,             0.98549,                   1,               0.995,             0.60959,            0.016728,            0.003436,          0.00057206,            0.006931,            0.006931,            0.006931
                  64,            0.023425,             0.01215,            0.010502,             0.97744,                   1,               0.995,             0.66832,            0.018618,           0.0033362,           0.0021446,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021528,            0.011897,           0.0094124,             0.98726,                   1,               0.995,             0.56456,            0.020552,           0.0033754,          0.00057178,            0.006832,            0.006832,            0.006832
                  66,             0.02263,            0.011939,           0.0088823,              0.9545,                   1,               0.995,             0.66048,            0.019402,           0.0027666,            0.000846,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026026,            0.011528,            0.011749,             0.97968,                   1,               0.995,             0.54822,             0.02219,           0.0027351,          0.00089836,            0.006733,            0.006733,            0.006733
                  68,            0.025705,            0.011323,            0.010525,             0.98076,             0.95135,               0.995,             0.51416,            0.021478,           0.0029677,           0.0011261,           0.0066835,           0.0066835,           0.0066835
                  69,            0.022977,            0.011362,            0.010683,             0.93749,             0.98858,               0.995,              0.5709,            0.017694,           0.0030938,            0.011568,            0.006634,            0.006634,            0.006634
                  70,            0.023372,            0.011709,            0.010001,             0.98875,                   1,               0.995,             0.59995,            0.018588,           0.0030429,           0.0028373,           0.0065845,           0.0065845,           0.0065845
